2026-03-14 22:03:50,891 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "be5f0360", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.29, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,065 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,066 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "45f5e9f2", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.6, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,067 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "45f5e9f2", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 7.52, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,247 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,249 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "865a6f00", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 7.44, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,250 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "865a6f00", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.46, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,433 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,434 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "0be9aad6", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 5.8, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,435 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "0be9aad6", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 6.88, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,608 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,609 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "554ef555", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 5.52, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,610 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "554ef555", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 6.44, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,793 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,794 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "a7615027", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 7.02, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,795 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "a7615027", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.09, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:51,969 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:51,970 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "aabe9539", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.57, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:51,971 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "aabe9539", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 7.31, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:52,147 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:52,148 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "48c77f20", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.15, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:52,148 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "48c77f20", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 6.76, "save_ativo": "alexandre_paiva", "outcome": "error"}
